Date,Name,Year,Letterboxd URI
2017-11-27,The Day a Pig Fell Into the Well,1996,https://letterboxd.com/film/the-day-a-pig-fell-into-the-well/
2017-11-28,The Emigrants,1971,https://letterboxd.com/film/the-emigrants/
2017-11-29,Sweeney Todd,2006,https://letterboxd.com/film/sweeney-todd/
2017-11-29,Red Dead Redemption: The Man from Blackwater,2010,https://letterboxd.com/film/red-dead-redemption-the-man-from-blackwater/
2017-11-29,Ruin,2021,https://letterboxd.com/film/ruin-2021/
2017-11-29,Fish Tank,2009,https://letterboxd.com/film/fish-tank/
2017-11-30,Marina Abramović: The Artist Is Present,2012,https://letterboxd.com/film/marina-abramovic-the-artist-is-present/
2017-11-30,Love Exposure,2008,https://letterboxd.com/film/love-exposure/
2017-12-01,"Und in der Mitte, da sind wir",2014,https://letterboxd.com/film/und-in-der-mitte-da-sind-wir/
2017-12-01,The Salesman,2016,https://letterboxd.com/film/the-salesman-2016/
2017-12-02,Pariah,2011,https://letterboxd.com/film/pariah/
2017-12-02,When We Rise,2017,https://letterboxd.com/film/when-we-rise-2017/
2017-12-02,Mudbound,2017,https://letterboxd.com/film/mudbound/
2017-12-04,Confession of Murder,2012,https://letterboxd.com/film/confession-of-murder/
2017-12-05,Painkiller Jane,,https://letterboxd.com/film/painkiller-jane-1/
2017-12-06,Ms .45,1981,https://letterboxd.com/film/ms-45/
2017-12-06,The Addiction,1995,https://letterboxd.com/film/the-addiction/
2017-12-08,Sherlock Holmes 3,2021,https://letterboxd.com/film/sherlock-holmes-3-2021/
2017-12-08,The Beguiled,1971,https://letterboxd.com/film/the-beguiled/
2017-12-19,Black Mirror: San Junipero,2016,https://letterboxd.com/film/black-mirror-san-junipero/
2017-12-19,The Gamechangers,2015,https://letterboxd.com/film/the-gamechangers/
2017-12-19,Dead Set,2008,https://letterboxd.com/film/dead-set/
2017-12-21,For Those Who Can Tell No Tales,2013,https://letterboxd.com/film/for-those-who-can-tell-no-tales/
2017-12-21,Petria's Wreath,1980,https://letterboxd.com/film/petrias-wreath/
2017-12-21,Requiem for Mrs. J,2017,https://letterboxd.com/film/requiem-for-mrs-j/
2017-12-21,Men Don't Cry,2017,https://letterboxd.com/film/men-dont-cry-2017/
2017-12-21,The Sound of Things,2016,https://letterboxd.com/film/the-sound-of-things/
2017-12-21,Quit Staring at My Plate,2016,https://letterboxd.com/film/quit-staring-at-my-plate/
2017-12-21,Ice Mother,2017,https://letterboxd.com/film/ice-mother/
2017-12-21,Woodpeckers,2017,https://letterboxd.com/film/woodpeckers/
2017-12-21,In the Fade,2017,https://letterboxd.com/film/in-the-fade/
2017-12-21,Train Driver's Diary,2016,https://letterboxd.com/film/train-drivers-diary/
2017-12-22,Morgan,2016,https://letterboxd.com/film/morgan-2016/
2017-12-22,The Gone World,2019,https://letterboxd.com/film/the-gone-world/
2017-12-22,Adam: Episode 3 — The Prophet,2017,https://letterboxd.com/film/adam-episode-3-the-prophet/
2017-12-22,Replicas,2018,https://letterboxd.com/film/replicas/
2017-12-22,Empire of Passion,1978,https://letterboxd.com/film/empire-of-passion/
2017-12-22,Zatoichi: The Last,2010,https://letterboxd.com/film/zatoichi-the-last/
2017-12-25,Johanna,2005,https://letterboxd.com/film/johanna/
2017-12-27,Love,2011,https://letterboxd.com/film/love/
2017-12-27,Stray Dogs,2014,https://letterboxd.com/film/stray-dogs-2014/
2017-12-28,"M Is for Man, Music and Mozart",1991,https://letterboxd.com/film/m-is-for-man-music-and-mozart/
2017-12-28,The Avenging Silence,2022,
2017-12-28,The New Tenants,2009,https://letterboxd.com/film/the-new-tenants/
2017-12-28,Lost River,2014,https://letterboxd.com/film/lost-river/
2017-12-28,Love,2015,https://letterboxd.com/film/love-2015/
2017-12-28,Love Me If You Dare,2003,https://letterboxd.com/film/love-me-if-you-dare/
2017-12-28,April and the Extraordinary World,2015,https://letterboxd.com/film/april-and-the-extraordinary-world/
2017-12-28,Delicatessen,1991,https://letterboxd.com/film/delicatessen/
2017-12-28,Delicacy,2011,https://letterboxd.com/film/delicacy/
2017-12-28,Eternity,2016,https://letterboxd.com/film/eternity-2016/
2017-12-28,Species,1995,https://letterboxd.com/film/species/
2017-12-28,Brazil,1985,https://letterboxd.com/film/brazil/
2017-12-28,Tank Girl,1995,https://letterboxd.com/film/tank-girl/
2017-12-28,Alphaville,1965,https://letterboxd.com/film/alphaville/
2017-12-28,Gun Woman,2014,https://letterboxd.com/film/gun-woman/
2017-12-28,The Monster,2016,https://letterboxd.com/film/the-monster-2016/
